video,Time(s)-sc,Time(s),Flight Code,Aircraft & origin-destination,flight time,Labeled Time(MM:SS),Labels,Labeled Time(s),,,video lengths(SS),video lengths(MM:SS),video lengths(s)
,14883,1655940242, K9352 , Boeing 777F Melbourne - Hong Kong , Flight Time: 7:00,18:56 , Emirates SkyCargo Boeing 777-200F Takeoff to Hong Kong,1136,,,,,
,14914,1655940273, NZ126, Boeing 787 Melbourne - Auckland , Flight Time: 3:30,19:27 , Air New Zealand Boeing 787-9 Takeoff to Auckland ,1167,,,,,
,14953,1655940312, QF7SS@ , Boeing 747 Melbourne ~ Sydney , Flight Time: 1:00,20:06 , Atlas Air Boeing 747-8F Takeoff to Sydney ,1206,,,,,
,14988,1655940347, QR8837 , Boeing 777 Melbourne - Doha , Flight Time: 13:45,20:41 , Qatar Airways Boeing 777-300ER Takeoff to Doha,1241,,,,,
,15022,1655940381, MH148 , Airbus A330 Melbourne - Kuala Lumpur , Flight Time: 7:30,21:15 , Malaysia Airlines Airbus A330-300 Takeoff to Kuala Lumpur ,1275,,,,,
,15088,1655940447, SQ7293 , Boeing 747F Melbourne - Singapore , Flight Time: 7:00,22:21 , Singapore Airlines Cargo Boeing 747-400F Takeoff to Singapore ,1341,,,,,
,15135,1655940494, CZ344 , Airbus A330 Melbourne - Guangzhou , Flight Time: 4:45,23:08 , China Southern Airlines Airbus A330-300 Takeoff to Guangzhou ,1388,,,,,
,15175,1655940534, GA717 , Airbus A330 Melbourne - Jakarta , Flight Time: 6:00,23:48 , Garuda Indonesia Airbus A330-300 Takeoff to Jakarta ,1428,,,,,
,15219,1655940578, NZ126, Boeing 787 Melbourne - Auckland , Flight Time: 3:30,24:32 , Air New Zealand Boeing 787-9 Takeoff to Auckland ,1472,,,,,
,15291,1655940650, PR210 , Boeing 777 Melbourne - Manila , Flight Time: 8:45,25:44 , Philippine Airlines Boeing 777-300ER Takeoff to Manila  ,1544,,,,,
10,,,,,,00:00 , UPS Boeing 747-400F Takeoff to Seoul ,0,,,,,
https://youtu.be/LQNdgp-3ibE,,,,,,00:51 , Emirates SkyCargo Boeing 777-200F Takeoff to Hong Kong ,51,,,,,
,,,,,,01:37 , Air China Airbus A330-300 Takeoff to Shenzhen ,97,,,,,
,,,,,,02:20 , Jetstar Airbus A320-200 Takeoff to Melbourne ,140,,,,,
,,,,,,02:57 , Air China Airbus A330-300 Takeoff to Shanghai ,177,,,,,
,,,,,,04:01 , DHL Boeing 767-300F Takeoff to Auckland ,241,,,,,
,,,,,,05:32 , Singapore Airlines Boeing 747-400F Takeoff to Melbourne ,332,,,,,
,,,,,,06:11 , United Airlines Boeing 777-300ER Takeoff to San Francisco ,371,,,,,
,,,,,,06:58 , China Southern Airlines Airbus A330-300 Takeoff to Guangzhou ,418,,,,,
,,,,,,07:32 , United Airlines Boeing 787-9 Takeoff to San Francisco ,452,,,,,
,,,,,,08:15 , Cathay Pacific Cargo Boeing 747-8F Takeoff to Melbourne ,495,,,,,
,,,,,,08:56 , Singapore Airlines Airbus A350-900 Takeoff to Singapore  ,536,,,,,
,,,,,,09:45 , Air New Zealand Boeing 787-9 Takeoff to Auckland ,585,,,,,
,,,,,,10:18 , United Airlines Boeing 777-300ER Takeoff to Los Angeles ,618,,,,,
,,,,,,11:06 , Fiji Airways Airbus A350-900 Takeoff to Nadi ,666,,,,,
,,,,,,11:59 , Cathay Pacific Airbus A350-1000 Takeoff to Hong Kong  ,719,,,,,
,,,,,,12:38 , Air Canada Boeing 777-300ER Takeoff to Vancouver ,758,,,,,
,,,,,,13:26 , United Airlines Boeing 787-9 Takeoff to San Francisco ,806,,,,,
,,,,,,14:04 , Air New Zealand Airbus A320-200neo Takeoff to Norfolk Island ,844,,,,,
,,,,,,14:49 , Vietnam Airlines Boeing 787-9 Takeoff to Ho Chi Minh City ,889,,,,,
,15444,1655940803, SA298S5 , Airbus A340 Sydney - Johannesburg , Flight Time: 11:45,17:13 , South African Airlines Airbus A340-600 Takeoff to Johannesburg ,1033,,,,,
,15487,1655940846, MUS62 , Boeing 777 Sydney - Shanghai , Flight Time: 10:25,17:54 , China Eastern Airlines Boeing 777-300ER Takeoff to Shanghai ,1074,,,,,
,15512,1655940871, QF11 , Airbus A380 Sydney - Los Angeles , Flight Time: 12:30,18:20 , Qantas Airbus A380-800 Takeoff to Los Angeles ,1100,,,,,
,15544,1655940903, QFes , Boeing 747 Sydney - Johannesburg , Flight Time: 14:05,18:55 , Qantas Boeing 747-400ER Takeoff to Johannesburg ,1135,,,,,
,15567,1655940926, Cls2 , Airbus A350 Sydney - Taipei , Flight Time: 4:15,19:17 , China Airlines Airbus A350-900 Takeoff to Taipei ,1157,,,,,
,15597,1655940956, AAT4 , Boeing 787 Sydney - Los Angeles , Flight Time: 13:25,19:45 , American Airlines Boeing 787-9 Takeoff to Los Angeles ,1185,,,,,
,15618,1655940977, S$Q232 , Airous A380 Sydney - Singapore , Flight Time: 8:20,20:06 , Singapore Airlines Airbus A380-800 Takeoff to Singapore  ,1206,,,,,
11,15665,1655941024, a a, Shanghai - Sydney , Flight Time: 10:00,00:00 , China Eastern Airlines Boeing 777-300ER Landing from Shanghai ,0,,,,,
https://youtu.be/FgK0IoFRw8k,15693,1655941052, HJL , Boeing 767F Auckland - Sydney , Flight Time: 3:00,00:34 , DHL Boeing 767-30F Landing from Auckland  ,34,,,,,
,15730,1655941089, VN787 , Boeing 787 Hanoi - Sydney , Flight Time: 10:10,01:11 , Vietnam Airlines Boeing 787-9 Landing from Ho Chi Minh City ,71,,,,,
,15758,1655941117, Qr12 , Airbus A380 Los Angeles - Sydney , Flight Time: 14:30,01:38 , Qantas Airbus A380-800 Landing from Los Angeles ,98,,,,,
,15808,1655941167, YL771 , Boeing 787 Tokyo - Sydney , Flight Time: 9:45,02:28 , Japan Airlines Boeing 787-9 Landing from Tokyo ,148,,,,,
,15847,1655941206, QF7S52 , Boeing 747F Auckland - Sydney , Flight Time: 3:00,03:05 , Atlas Air Boeing 747-400F Landing from Auckland ,185,,,,,
,15897,1655941256, TG47S , Boeing 747 Bangkok - Sydney , Flight Time: 9:00,03:55 , Thai Airways Boeing 747-400 Landing from Bangkok,235,,,,,
,15956,1655941315, BA1LS , Boeing 777 Singapore - Sydney , Flight Time: 7:00,04:55 , British Airways Boeing 777-300ER Landing from Singapore ,295,,,,,
,16005,1655941364, KE121 , Airbus A580 Seoul - Sydney , Flight Time: 10:35,05:43 , Korean Air Airbus A380-800 Landing from Seoul ,343,,,,,
,16077,1655941436, $Q231 , Airbus A380 Singapore - Sydney , Flight Time: 8:00,06:57 , Singapore Airlines Airbus A380-800 Landing from Singapore ,417,,,,,
,16120,1655941479, QFS8O , Airbus A330 Perth - Sydney , Flight Time: 3:45,07:38 , Qantas Airbus A330-200 Landing from Perth,458,,,,,
,16183,1655941542, P0241 , Boeing 767F Tokyo - Sydney , Flight Time: 10:00,08:46 , Polar Air Boeing 767-300F Landing from Tokyo ,526,,,,,
,16223,1655941582, CIst , Airbus A350 Taipei - Sydney , Flight Time: 9:15,09:22 , China Airlines Airbus A350-900 Landing from Taipei  ,562,,,,,
,16261,1655941620, JQ4 , Boeing 787 Honolulu - Sydney , Flight Time: 7:10,09:59 , Jetstar Boeing 787-8 Landing from Honolulu ,599,,,,,
,16288,1655941647, SQ283 , Boeing 777 Singapore - Sydney , Flight Time: 7:30,10:26 , Singapore Airlines Boeing 777-200ER Landing from Singapore ,626,,,,,
,16312,1655941671, SA2984 , Airbus A340 Johannesburg - Sydney , Flight Time: 11:45,10:50 , South African Airlines Airbus A340-600 Landing from Johannesburg ,650,,,,,
,16404,1655941763, VA8S4 , Boeing 787 Los Angeles - Sydney , Flight Time: 13:15,12:24 , United Airlines Boeing 787-9 Landing from Los Angeles ,744,,,,,
,16442,1655941801, VAS7O , Airbus A530 Perth - Sydney , Flight Time: 4:45,13:00 , Virgin Australia Airbus A330-200 Landing from Perth ,780,,,,,
,16482,1655941841, YD474 , Airbus A330 Qingdao - Sydney , Flight Time: 11:00,13:43 , Capital Airlines Airbus A330-200 Landing from Qingdao ,823,,,,,
,16520,1655941879, AAT , Boeing 787 Los Angeles - Sydney , Flight Time: 13:25,14:18 , American Airlines Boeing 787-9 Landing from Los Angeles ,858,,,,,
,16563,1655941922, Ek412 , Airbus A380 Dubai - Sydney , Flight Time: 13:50,15:01 , Emirates Airbus A380-800 Landing from Dubai ,901,,,,,
,16604,1655941963, OZe01 , Airbus A580 Soeul - Sydney , Flight Time: 11:10,15:43 , Asiana Airlines Airbus A380-800 Landing from Seoul ,943,,,,,
,16658,1655942017, SIB4 , Airbus A330 Manila - Sydney , Flight Time: 9:35,16:36 , Cebu Pacific Airbus A330-300 Landing from Manila ,996,,,,,
,16709,1655942068, LA800 , Boeing 787 Sydney - Auckland , Flight Time: 3:00,17:27 , Latam Airlines Boeing 787-9 Landing from Auckland ,1047,,,,,
,16741,1655942100, Fj911 , Atrous A530 Nadi - Sydney , Flight Time: 4:00,17:59 , Fiji Airways Airbus A330-300 Landing from Nadi ,1079,,,,,
,16768,1655942127, VN787 , Boeing 787 Hanoi - Sydney , Flight Time: 10:10,18:25 , Vietnam Airlines Boeing 787-9 Landing from Hanoi ,1105,,,,,
,16794,1655942153, SQ7290 , Boeing 747F Singapore - Sydney , Flight Time: 7:30,18:51 , Singapore Airlines Cargo Boeing 747-400F Landing from Singapore ,1131,,,,,
,16821,1655942180,45074, Airous A550 Shenzhen - Sydney , Flight Time: 9:30,19:20 , China Southern Airlines Airbus A330-300 Landing from Shenzhen  ,1160,,,,,
,16863,1655942222, QFS80 , Airbus A330 Perth - Sydney , Flight Time: 3:45,20:02 , Qantas Airbus A330-200 Landing from Perth  ,1202,,,,,
,16901,1655942260, GA71I2 , Alrous A550 Jakarta - Sydney , Flight Time: 7:00,20:40 , Garuda Indonesia Airbus A330-300 Landing from Jakarta ,1240,,,,,
,16940,1655942299, QFs , Airbus A380 Dallas - Sydney , Flight Time: 15:30,21:18 , Qantas Airbus A380-800 Landing from Dallas ,1278,,,,,
12,17012,1655942371, HJ1 , Boeing 767F Melbourne - Sydney , Flight Time: 1:00,00:00 , DHL Boeing 767-300F Takeoff to Sydney ,0,,,,,
https://youtu.be/dnDOfgtSpoU,17044,1655942403, RA4136 , Airbus A330 Melbourne - Kathmandu , Flight Time: 4:30,00:39 , Nepal Airlines Airbus A330-200 Takeoff to Kathmandu ,39,,,,,
,17081,1655942440, AWKe , Boeing 737F Melbourne - Auckland , Flight Time: 3:30,01:12 , Toll Aviation Boeing 737-400F Takeoff to Auckland ,72,,,,,
,17136,1655942495, Cx105 , Airbus A350 Melbourne - Hong Kong , Flight Time: 7:00,02:00 , Cathay Pacific Airbus A350-900 Takeoff to Hong Kong ,120,,,,,
,17212,1655942571, $Q228 , Airbus A350 Melbourne - Singapore , Flight Time: 7:00,03:25 , Singapore Airlines Airbus A350-900 Takeoff to Singapore ,205,,,,,
,17263,1655942622, CX29 , Boeing 747F Melbourne - Hong Kong , Flight Time: 4:15,04:13 , Cathay Pacific Boeing 747-8F Takeoff to Hong Kong ,253,,,,,
,17377,1655942736, NZ126, Boeing 787 Melbourne - Auckland , Flight Time: 3:30,06:09 , Air New Zealand Boeing 787-9 Takeoff to Auckland ,369,,,,,
,17450,1655942809, K9352 , Boeing 777F Melbourne - Hong Kong , Flight Time: 7:00,07:20 , Emirates Boeing 777-200F Takeoff to Hong Kong,440,,,,,
,17534,1655942893, QR8837 , Boeing 777 Melbourne - Doha , Flight Time: 13:45,08:42 , Qatar Airways Boeing 777-300ER Takeoff to Doha ,522,,,,,
,17585,1655942944, CX104 , Boeing 777 Hong Kong - Melbourne , Flight Time: 9:00,09:38 , Cathay Pacific Boeing 777-300ER Takeoff to Hong Kong ,578,,,,,
,,,,,,10:30 , Atlas Air Boeing 747-8F Takeoff to Sydney ,630,,,,,
,17693,1655943052, VN780 , Boeing 787 Melbourne - Ho Chi Minh City , Flight Time: 8:20,11:25 , Vietnam Airlines Boeing 787-10 Takeoff to Ho Chi Minh City ,685,,,,,
,17792,1655943151, OD178 , Boeing 737 Melbourne - Denpasar , Flight Time: 5:00,13:02 , Malindo Boeing 737-900 Takeoff to Denpasar ,782,,,,,
,17883,1655943242, SQ208 , Boeing 787 Melbourne - Singapore , Flight Time: 7:00,14:35 , Singapore Airlines Boeing 787-10 Takeoff to Singapore ,875,,,,,
,17972,1655943331, QF37 , Airbus A330 Melbourne - Singapore , Flight Time: 7:00,16:03 , Qantas Airbus A330-300 Takeoff to Singapore ,963,,,,,
,18072,1655943431, QR8837 , Boeing 777 Melbourne - Doha , Flight Time: 13:45,17:43 , Qatar Airways Boeing 777-300ER Takeoff to Doha ,1063,,,,,
,18156,1655943515, QF73049 , Boeing 757F Melbourne - Perth , Flight Time: 3:25,19:03 , Qantas Freight Boeing 737-300F Takeoff to Perth,1143,,,,,
,18241,1655943600, TR26 , Boeing 787 Melbourne ~ Singapore , Flight Time: 7:20,20:32 , FlyScoot Boeing 787-9 Takeoff to Singapore ,1232,,,,,
13,18336,1655943695, TTS82 , Airbus A320 Melbourne - Cairns , Flight Time: 3:00,00:18 , Tigerair Australia Airbus A320-200 Takeoff to Cairns ,18,,,,,
https://youtu.be/DG8ZVGQCTeo,18367,1655943726, VN781 , Boeing 787 Ho Chi Minh City - Melbourne , Flight Time: 8:05,00:49 , Vietnam Airlines Boeing 787-10 Landing from Ho Chi Minh City ,49,,,,,
,18401,1655943760, VA28S4 , Boeing 777 San Francisco - Melbourne , Flight Time: 13:55,01:23 , United Airlines Boeing 777-300ER Landing from San Francisco ,83,,,,,
,18505,1655943864, $Q228 , Airbus A350 Melbourne - Singapore , Flight Time: 7:00,03:07 , Singapore Airlines Airbus A350-900 Takeoff to Singapore,187,,,,,
,18557,1655943916, CX28 , Boeing 747F Sydney - Melbourne , Flight Time: 1:00,03:59 , Cathay Pacific Boeing 747-8F Landing from Sydney,239,,,,,
,18581,1655943940, QRI04 , Airbus A350 Doha - Melbourne , Flight Time: 13:45,04:22 , Qatar Airways Airbus A350-1000 Landing from Doha ,262,,,,,
,18607,1655943966, QR883e , Boeing 777 Doha - Melbourne , Flight Time: 13:45,04:49 , Qatar Airways Boeing 777-300ER Landing from Doha ,289,,,,,
,18672,1655944031, VN780 , Boeing 787 Melbourne - Ho Chi Minh City , Flight Time: 8:20,05:54 , Vietnam Airlines Boeing 787-10 Takeoff to Ho Chi Minh City ,354,,,,,
,18724,1655944083, $Q207 , Boeing 787 Singapore ~ Melbourne , Flight Time: 7:00,06:46 , Singapore Airlines Boeing 787-10 Landing from Singapore ,406,,,,,
,18748,1655944107, EK2665 , Boeing 777 Auckland - Melbourne , Flight Time: 3:30,07:10 , Emirates Boeing 777-300ER Landing from Auckland ,430,,,,,
,18768,1655944127, QF417 , Airbus A330 Sydney - Melbourne , Flight Time: 1:00,07:31 , Qantas Airbus A330-300 Landing from Sydney,451,,,,,
,18837,1655944196, OD178 , Boeing 737 Melbourne - Denpasar , Flight Time: 5:00,08:40 , Malindo Boeing 737-900 Takeoff to Denpasar,520,,,,,
,18911,1655944270, QF7433 , Boeing 737F Melbourne - Sydney , Flight Time: 1:00,09:54 , Qantas Freight Boeing 737-300F Takeoff to Sydney ,594,,,,,
,18950,1655944309, QR8892 , Boeing 777F Singapore - Melbourne , Flight Time: 7:00,10:32 , Qatar Cargo Boeing 777-200F Landing from Singapore ,632,,,,,
,19024,1655944383, CX29 , Boeing 747F Melbourne - Hong Kong , Flight Time: 4:15,11:46 , Cathay Pacific Cargo Boeing 747-8F Takeoff to Hong Kong,706,,,,,
,19090,1655944449, MH124 , Airbus A330 Kuala Lumpur - Melbourne , Flight Time: 7:30,12:53 , Malaysia Airlines Airbus A330-300 Landing from Kuala Lumpur ,773,,,,,
,19123,1655944482, JD46e1 , Airbus A330 Qingdao - Melbourne , Flight Time: 10:45,13:25 , Capital Airlines Airbus A330-300 Landing from Qingdao ,805,,,,,
,19197,1655944556, SQ208 , Boeing 787 Melbourne - Singapore , Flight Time: 7:00,14:40 , Singapore Airlines Boeing 787-10 Takeoff to Singapore ,880,,,,,
,19260,1655944619, MH124 , Airbus A330 Kuala Lumpur - Melbourne , Flight Time: 7:30,15:41 , Malaysia Airlines Airbus A330-300 Landing from Kuala Lumpur ,941,,,,,
,19353,1655944712, sJsO , Airbus A330 Melbourne - Manila , Flight Time: 8:45,17:16 , Cebu Pacific Airbus A330-300 Takeoff to Manila  ,1036,,,,,
,19430,1655944789, QF37 , Airbus A330 Melbourne ~ Singapore , Flight Time: 7:00,18:33 , Qantas Airbus A330-300 Takeoff to Singapore ,1113,,,,,
,19498,1655944857, QF7433 , Airbus A321F Melbourne - Sydney , Flight Time: 1:00,19:41 , Qantas Airbus A321-200F Takeoff to Sydney,1181,,,,,
,19563,1655944922, QF79 , Airbus A330 Melbourne - Tokyo , Flight Time: 11:15,20:45 , Qantas Airbus A330-300 Takeoff to Tokyo ,1245,,,,,
,19671,1655945030, QR8837 , Boeing 777 Melbourne - Doha , Flight Time: 13:45,22:33 , Qatar Airways Boeing 777-300ER Takeoff to Doha ,1353,,,,,
,19724,1655945083, EY460 , Boeing 787 Abu Dhabi - Melbourne , Flight Time: 13:30,23:26 , Etihad Airways Boeing 787-9 Landing from Abu Dhabi ,1406,,,,,
14,19789,1655945148, QFq , Boeing 787 Melbourne - Perth , Flight Time: 3:30,00:00 , Qantas Boeing 787-9 Takeoff to Perth,0,,,,,
https://youtu.be/JmW3Sdy19b4,19830,1655945189, S$Q208 , Airbus A350 Melbourne - Singapore , Flight Time: 7:00,00:43 , Singapore Airlines Airbus A350-900 Takeoff to Singapore ,43,,,,,
,19865,1655945224, SQ228 , Boeing 777 Melbourne - Singapore , Flight Time: 7:00,01:17 , Singapore Airlines Boeing 777-300ER Takeoff to Singapore ,77,,,,,
,19893,1655945252, NZ126, Boeing 787 Melbourne - Auckland , Flight Time: 3:30,01:45 , Air New Zealand Boeing 787-9 Takeoff to Auckland ,105,,,,,
,19923,1655945282, EY463 , Boeing 787 Melbourne - Abu Dhabi , Flight Time: 13:30,02:15 , Etihad Airways Boeing 787-9 Takeoff to Abu Dhabi ,135,,,,,
,19952,1655945311, QRIOS , Airbus A380 Melbourne - Doha , Flight Time: 13:45,02:44 , Qatar Airways Airbus A380-800 Takeoff to Doha ,164,,,,,
,19974,1655945333, EY461 , Airbus A380 Melbourne - Abu Dhabi , Flight Time: 13:45,03:06 , Etihad Airways Airbus A380-800 Takeoff to Abu Dhabi ,186,,,,,
,20015,1655945374, MH128 , Airbus A380 Melbourne - Kuala Lumpur , Flight Time: 7:30,03:47 , Malaysia Airlines Airbus A380-800 Takeoff to Kuala Lumpur ,227,,,,,
,20068,1655945427, QFqIS , Airbus A380 Melbourne ~ Los Angeles , Flight Time 13:55,04:41 , Qantas Airbus A380-800 Takeoff to Los Angeles ,281,,,,,
,20158,1655945517, LA80S , Boeing 787 Melbourne ~ Santiago , Flight Time: 12:25,06:10 , LAN Chile Boeing 787-8 Takeoff to Santiago ,370,,,,,
,20210,1655945569, QF29 , Boeing 747 Melbourne - Hong Kong , Flight Time: 7:00,07:02 , Qantas Boeing 747-400ER Takeoff to Hong Kong,422,,,,,
,20253,1655945612, SQ248 , Boeing 777 Melbourne - Wellington , Flight Time: 3:45,07:45 , Singapore Airlines Boeing 777-200ER Takeoff to Wellington ,465,,,,,
,20283,1655945642, QF7SS@ , Boeing 747 Melbourne ~ Sydney , Flight Time: 1:00,08:16 , Atlas Air Boeing 747-400F Takeoff to Sydney ,496,,,,,
,20310,1655945669, EK409 , Boeing 777 Melbourne - Dubai , Flight Time: 13:10,08:42 , Emirates Boeing 777-300ER Takeoff to Dubai,522,,,,,
,20368,1655945727, PR208 , Airbus A330 Melbourne - Manila , Flight Time: 8:45,09:40 , Philippine Airlines Airbus A330-300 Takeoff to Manila ,580,,,,,
,20465,1655945824, UA4 , Boeing 787 Melbourne - Los Angeles , Flight Time: 14:30,11:17 , United Airlines Boeing 787-9 Takeoff to Los Angeles ,677,,,,,
,20509,1655945868, CZ344 , Airbus A380 Melbourne - Guangzhou , Flight Time: 9:15,12:01 , China Southern Airlines Airbus A380-800 Takeoff to Guangzhou ,721,,,,,
,20562,1655945921, PK8963, Boeing 777 Melbourne - Lahore , Flight Time: 13:45,12:54 , Pakistan International Airlines Boeing 777-200LR Takeoff to Lahore ,774,,,,,
,20593,1655945952, EY461 , Airbus A380 Melbourne - Abu Dhabi , Flight Time: 13:45,13:26 , Etihad Airways Airbus A380-800 Takeoff to Abu Dhabi ,806,,,,,
,20630,1655945989, Ek405 , Airbus A380 Melbourne - Singapore , Flight Time: 7:00,14:03 , Emirates Airbus A380-800 Takeoff to Singapore ,843,,,,,
,20682,1655946041, QF37 , Airbus A330 Melbourne - Singapore , Flight Time: 7:00,14:55 , Qantas Airbus A330-300 Takeoff to Singapore ,895,,,,,
,20714,1655946073, JQ35 , Boeing 787 Melbourne - Denpasar , Flight Time: 5:15,15:27 , Jetstar Boeing 787-8 Takeoff to Denpasar,927,,,,,
,20752,1655946111, $Q228 , Airbus A350 Melbourne - Singapore , Flight Time: 7:00,16:04 , Singapore Airlines Airbus A350-900 Takeoff to Singapore ,964,,,,,
,20785,1655946144, BIé , Airbus AZ30neo Melbourne - Brunei , Flight Time: 6:00,16:37 , HiFly Airbus A330-900neo Takeoff to Brunei ,997,,,,,
,20855,1655946214, MU738 , Airbus A350 Melbourne - Shanghai , Flight Time: 10:20,17:47 , China Eastern Airlines Airbus A350-900 Takeoff to Shanghai ,1067,,,,,
,20916,1655946275, sJsO , Airbus A330 Melbourne - Manila , Flight Time: 8:45,18:48 , Cebu Pacific Airbus A330-300 Takeoff to Manila ,1128,,,,,
,20963,1655946322, QFqI3 , Airbus A380 Melbourne ~ Los Angeles , Flight Time 13:55,19:33 , Qantas Airbus A380-800 Takeoff to Los Angeles ,1173,,,,,
,20991,1655946350, CX134 , Airbus A350 Melbourne - Hong Kong , Flight Time: 7:00,20:03 , Cathay Pacific Airbus A350-900 Takeoff to Hong Kong,1203,,,,,
,21027,1655946386, QF79 , Airbus A330 Melbourne - Tokyo , Flight Time: 11:15,20:39 , Qantas Airbus A330-300 Takeoff to Tokyo ,1239,,,,,
,21055,1655946414, HU7903 , Airbus A330 Melbourne - Xi'an , Flight Time: 10:10,21:07 , Hanian Airlines Airbus A330-200 Takeoff to Xi'an ,1267,,,,,
,,,,,,21:36 , RAAF Boeing C-17 Globemaster Takeoff to Amberley,1296,,,,,
,21127,1655946486, D7215 , Airbus A330 Melbourne - Kuala Lumpur , Flight Time: 7:30,22:20 , AirAsia X Airbus A330-300 Takeoff to Kuala Lumpur  ,1340,,,,,
15,21222,1655946581, PR210 , Boeing 777 Melbourne - Manila , Flight Time: 8:45,00:00 , Philippine Airlines Boeing 777-300ER Takeoff to Manila ,0,,,,,
https://youtu.be/1bq6FBms7qI,21276,1655946635, GA7147 , Airbus A330 Melbourne - Jakarta , Flight Time: 6:00,01:26 , Garuda Indonesia Airbus A330-300 Takeoff to Jakarta  ,86,,,,,
,21309,1655946668, Bleé , Boeing 787 Melbourne - Brunei , Flight Time: 6:00,01:56 , Royal Brunei Airlines Boeing 787-8 Takeoff to Bander Seri Begawan ,116,,,,,
,,,,,,01:45 , Air New Zealand Boeing 787-9 Takeoff to Auckland ,105,,,,,
,21380,1655946739, VN780 , Airbus A350 Melbourne - Ho Chi Minh City , Flight Time: 8:20,03:08 , Vietnam Airlines Airbus A350-900 Takeoff to Ho Chi Minh City ,188,,,,,
,21452,1655946811, BDGOO , Boeing 757 Melbourne - Darwin , Flight Time: 3:00,04:20 , La Compagnie Boeing 757-200 Takeoff to Darwin,260,,,,,
,21491,1655946850, VA23 , Boeing 777 Melbourne - Los Angeles , Flight Time: 13:45,05:00 , Virgin Australia Boeing 777-300ER Takeoff to Los Angeles ,300,,,,,
,,,,,,05:52 , RAAFFalcon7x Takeoff to Canberra ,352,,,,,
,21568,1655946927, TR26 , Boeing 787 Melbourne ~ Singapore , Flight Time: 7:20,06:18 , FlyScoot Boeing 787-9 Takeoff to Singapore ,378,,,,,
,21620,1655946979, MH148 , Airbus A380 Melbourne - Kuala Lumpur , Flight Time: 7:30,07:08 , Malaysia Airlines Airbus A380-800 Takeoff to Kuala Lumpur ,428,,,,,
,21678,1655947037, FJq34 , Airbus A530 Melbourne - Nadi , Flight Time: 5:00,08:06 , Fiji Airways Airbus A330-200 Takeoff to Nadi,486,,,,,
,21712,1655947071, SQ238 , Boeing 777 Melbourne - Singapore , Flight Time: 7:00,08:40 , Singapore Airlines Boeing 777-300ER Takeoff to Singapore ,520,,,,,
,21756,1655947115, VDA2087 , Antonov AN-124F Melbourne - Perth , Flight Time: 4:00,09:25 , Volga Dnepr Anotonov AN-124F Takeoff to Perth,565,,,,,
,,,,,,09:52 , RAAF Boeing C-17 Takeoff to Amberely ,592,,,,,
,21825,1655947184, EK405 , Boeing 777 Melbourne ~ Singapore , Flight Time: 7:15,10:35 , Emirates Boeing 777-300ER Takeoff to Singapore ,635,,,,,
,21864,1655947223, VA23 , Boeing 777 Melbourne - Los Angeles , Flight Time: 13:45,11:11 , Virgin Australia Boeing 777-300ER Takeoff to Los Angeles ,671,,,,,
,21888,1655947247, NZ124 , Boeing 777 Melbourne ~ Auckland , Flight Time: 3:30,11:35 , Air New Zealand Boeing 777-300ER Takeoff to Auckland ,695,,,,,
,21929,1655947288, AC38 , Boeing 787 Melbourne - Vancouver , Flight Time: 14:45,12:16 , Air Canada Boeing 787-9 Takeoff to Vancouver ,736,,,,,
,21947,1655947306, VN780 , Boeing 787 Melbourne - Ho Chi Minh City , Flight Time: 8:20,12:36 , Vietnam Airlines Boeing 787-9 Takeoff to Ho Chi Minh City ,756,,,,,
,21986,1655947345, LA80S , Boeing 787 Melbourne ~ Santiago , Flight Time: 12:25,13:16 , LAN Chile Boeing 787-9 Takeoff to Santiago ,796,,,,,
,22013,1655947372, SQ248 , Airbus A550 Melbourne - Singapore , Flight Time: 7:15,13:41 , Singapore Airlines Airbus A330-300 Takeoff to Singapore ,821,,,,,
,,,,,,14:09 , RAAF Airbus KC-30 Takeoff to Amberley ,849,,,,,
,22073,1655947432, VA1851 , Airbus A320 Melbourne - Kalgoorlie , Flight Time: 3:30,14:40 , Virgin Australia Airbus A320-200 Takeoff to Kalgoorlie ,880,,,,,
,22094,1655947453, K9352 , Boeing 777F Melbourne - Hong Kong , Flight Time: 7:00,15:13 , Emirates SkyCargo Boeing 777-200F Takeoff to Hong Kong,913,,,,,
,22142,1655947501, k4534 , Boeing 747F Melbourne - Nadi , Flight Time: 5:00,15:50 , Kalitta Air Cargo Boeing 747-400F Takeoff to Nadi,950,,,,,
,22175,1655947534, MF804 , Boeing 787 Melbourne - Xiamen , Flight Time: 9:45,16:22 , Xiamen Air Boeing 787-8 Takeoff to Xiamen ,982,,,,,
,22223,1655947582, NF7 , Boeing 737 Melbourne ~ Port Vila , Flight Time: 3:55,17:10 , Air Vanuatu Boeing 737-800 Takeoff to Port Vila,1030,,,,,
,22259,1655947618, LA80S , Boeing 787 Melbourne ~ Santiago , Flight Time: 12:25,17:46 , Latam Airlines Boeing 787-9 Takeoff to Santiago ,1066,,,,,
,22322,1655947681, GS79746@ , Airbus A330 Melbourne - Chongquin , Flight Time: 10:10,18:52 , Tianjin Airlines Airbus A330-200 Takeoff to Chongquin ,1132,,,,,
,22370,1655947729, JQL , Boeing 787 Melbourne - Honolulu , Flight Time: 10:20,19:37 , Jetstar Boeing 787-8 Takeoff to Honolulu ,1177,,,,,
,22406,1655947765, FJq34 , Boeing 737 Melbourne ~ Nadi , Flight Time: 5:00,20:15 , Fiji Airways Boeing 737-800 Takeoff to Nadi,1215,,,,,
